id,title,description,likeCount,publishTime,duration_seconds,viewCount,like_to_view_ratio
LdMx2U5tby0,"$60,000 Extreme Hide And Seek - Challenge",THERE IS NO WAY THIS HAPPENED AGAIN LOL WATCH UNTIL THE END New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,1826700.0,2020-01-17 21:00:01+00:00,1079,79723782.0,0.02291286181079568
IoZri9hq7z4,I Uber’d People And Let Them Keep The Car,Subscribe for a free car! New Merch - https://shopmrbeast.com/ I uber people and give them the car SUBSCRIBE OR I TAKE ...,2531831.0,2020-10-24 20:00:01+00:00,851,62936687.0,0.04022822173655248
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",I can't believe I gave away a private island. subscribe to help me pay for it Download Lords Mobile to win BIG prizes here: ...,3719348.0,2020-08-15 20:00:02+00:00,1336,119576253.0,0.03110440331325652
X1jMMFOqxEw,"$50,000 Game Of Extreme Hide And Seek - Challenge","BUY NOW MrBeast, Chandler, Chris - http://youtooz.com ENTER ON INSTAGRAM TOO https://www.instagram.com/mrbeast New ...",2158975.0,2019-11-28 21:00:01+00:00,903,92759192.0,0.02327505181373292
Ims5p6wjW9s,"Last To Take Hand Off Boat, Keeps It",Last one to remove their hand kept the boat! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG In this ...,1322438.0,2019-10-19 20:06:01+00:00,1008,68554762.0,0.019290242740540767
NbaWrbJDr48,"Last To Leave Toilet Wins $1,000,000 (Part 3)",New Merch - https://shopmrbeast.com/ Instagram - https://www.instagram.com/mrbeast SUBSCRIBE OR I TAKE YOUR DOG ...,1202564.0,2019-12-07 21:11:07+00:00,946,49275426.0,0.024404943754316805
vJH28ICkCdU,I Sold My House For $1,Download Basketball Arena and attend the $50000 Win Streak Event https://app.adjust.com/6yykn7c_ou2rw0e *LIMITED TIME ...,2661083.0,2021-03-06 21:00:02+00:00,649,73190107.0,0.036358506758297264
HfJMs4mrSJM,Molten Lava Vs Giant Ice Block Experiment,In this video we played with lava and dumped it on things Buy Your Maverick Merch Here - https://shopmrbeast.com/ Shoutout to ...,1282091.0,2019-04-27 20:00:02+00:00,458,62502385.0,0.0205126732363893
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",Exclusive Merch Here - https://shopmrbeast.com/ YOU HAVE 7 DAYS TO BUY THIS SHIRT AND YOUR NAME WILL BE ADDED ...,1997674.0,2021-07-24 20:00:59+00:00,645,59015812.0,0.03384980960695754
QxGVgXf_LNk,"Going Through The Same Drive Thru 1,000 Times",I can't believe we did this lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,3224679.0,2019-10-05 20:00:08+00:00,938,138440792.0,0.023292838428719768
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",Would you sit in a tub of snakes for $10000? New Merch - https://shopmrbeast.com/ Subscribe to Brian Barczyk: ...,3125932.0,2021-04-10 21:00:07+00:00,849,109152270.0,0.02863826835667275
qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",Subscribe if you want to compete! Watch My Documentary Now On Curiosity: http://curiositystream.com/BEAST New Merch ...,2641598.0,2021-10-23 20:00:01+00:00,943,52868114.0,0.04996580736736703
sfv1QaRzJg8,I Ordered Pizza And Tipped The House,I Was In Youtube Rewind 2019 New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG Check me out in ...,3137075.0,2019-12-05 21:00:02+00:00,782,86437502.0,0.036292985421998894
anFxsa5jXrE,"I Searched 100 Dumpsters, Here&#39;s What I Found",YOU WON'T BELIEVE WHAT WE FOUND! LOL New Merch - http://www.shopmrbeast.com/MBYTV1 SUBSCRIBE OR I TAKE ...,1324689.0,2019-10-12 20:10:01+00:00,1028,71845651.0,0.018437984506536102
H1WBdh56Vq4,Spending 24 Hours In A City With No Laws,"We spent 24 hours straight in slab city, aka the city with no laws. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...",1686936.0,2019-05-07 21:00:01+00:00,869,86936731.0,0.01940418026530121
LU_xVr4b2qM,"Going Around A Ferris Wheel 1,000 Times Straight",Thanks to Epic Games for sponsoring this video! Download Battle Breakers - http://bit.ly/codeMrBeast FOLLOW 4 COOKIE ...,1436159.0,2019-11-16 21:00:47+00:00,776,54521829.0,0.0263409908717479
uE6gud1voDs,"Ordering Water Then Tipping $30,000",You won't believe how they reacted to the $30000 we tipped! subscribe for a car New Merch - https://shopmrbeast.com/ ...,1067119.0,2018-10-23 20:11:02+00:00,723,39714916.0,0.02686947644557526
UtnsWzaoRtg,World&#39;s Largest Game Of Dodgeball,THIS GAME OF DODGEBALL WAS INSANE!!!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1034966.0,2019-07-12 20:05:00+00:00,677,42172274.0,0.024541384702186086
0DaMUhgcAqo,Destroying My Friend&#39;s Car And Surprising Him With A New One,I DROPPED A METEOR ON MY FRIEND'S CAR New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1962449.0,2019-08-10 20:00:00+00:00,893,72016728.0,0.027249905049837864
9cCpZl8euLI,I Gave A Homeless Man A Home,WE GAVE A HOMELESS PERSON A HOUSE idk y caps Get Honey and start saving money today ...,1891854.0,2019-02-28 22:06:00+00:00,840,63719508.0,0.02969034224181392
AS6WMS_Bemg,I Can&#39;t Believe I Found This Stuff On Amazon..,It should be illegal to sell this stuff. Get your chair here - https://www.gtomegaracing.com/ SUBSCRIBE FOR A FREE CAR BUY ...,1101599.0,2017-12-22 23:19:10+00:00,501,26928544.0,0.04090822734418913
A-vX1AGBGsc,I Went Back To 1st Grade For A Day,me and the squad went back to first grade for fun LAST DAY TO BUY MERCH - https://shopmrbeast.com/ After today you can no ...,2306311.0,2019-01-31 22:05:00+00:00,1066,119352796.0,0.019323476929690026
TDiXxsQ0w2Q,Why I Haven’t Been Uploading,This took way too long... Buy Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2155684.0,2020-09-17 20:00:05+00:00,382,32929921.0,0.06546277472089897
OAbP-V6fEVc,I Broke Into A House,His reaction was hilarious Download monster legends: https://monsterlegends.onelink.me/1933036881/MrBeast Thanks Monster ...,2290401.0,2020-06-25 20:00:00+00:00,897,74412826.0,0.030779653496831313
ha4tRQwKIUg,I Bought Everything In A Store - Challenge,I WENT INTO A STORE AND BOUGHT LITERALLY 15000 ITEMS! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,3393035.0,2019-05-18 20:05:02+00:00,1016,100371975.0,0.0338046053193633
ORUX1lHbOa8,I Opened A FREE BANK,Download Angry Birds 2 Here https://rov.io/PU9tvo Thanks To Angry Birds For Sponsoring This Video New Merch ...,1895447.0,2019-11-23 21:00:17+00:00,703,66772832.0,0.0283865000663743
